Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,"77,496,753.70","87,879,341.48","109,079,978.90","131,431,026.70","147,841,734.40","164,369,278.90","182,144,093.00","208,372,846.30","240,923,924.80","290,440,140.70","337,174,861.90","398,637,727.80","438,794,788.50","459,469,058.90","481,706,333.30","499,281,148.10","535,172,777.80","589,429,592.60","577,280,740.70","633,730,629.60","680,617,111.10","727,860,592.60","766,198,925.90","830,158,777.80","800,740,259.30","814,615,333.30","855,643,111.10","919,577,148.10","1,022,191,296.00","1,157,005,444.00","1,311,401,333.00","1,368,431,037.00","1,224,253,000.00","1,148,700,000.00","1,137,637,037.00","1,199,948,148.00","1,181,448,148.00","1,249,733,333.00","1,336,692,593.00","1,436,585,185.00","1,467,977,778.00","1,610,574,074.00",
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,"18,577,668,272.00","19,652,816,665.00","19,892,485,161.00","21,507,447,643.00","23,764,139,321.00","25,936,835,032.00","27,268,451,114.00","30,397,580,916.00","32,665,472,057.00","36,628,961,810.00","41,271,138,985.00","45,149,512,823.00","51,967,289,720.00","63,737,347,854.00","88,831,245,394.00","97,170,558,514.00","105,000,000,000.00","110,000,000,000.00","118,000,000,000.00","135,000,000,000.00","150,000,000,000.00","177,000,000,000.00","194,000,000,000.00","177,000,000,000.00","193,000,000,000.00","180,000,000,000.00","182,000,000,000.00","189,000,000,000.00","236,000,000,000.00","299,000,000,000.00","311,000,000,000.00","325,000,000,000.00","325,000,000,000.00","312,000,000,000.00","322,000,000,000.00","367,000,000,000.00","400,000,000,000.00","435,000,000,000.00","399,000,000,000.00","389,000,000,000.00","415,000,000,000.00","378,000,000,000.00","395,000,000,000.00","466,000,000,000.00","612,000,000,000.00","693,000,000,000.00","746,000,000,000.00","853,000,000,000.00","1,050,000,000,000.00","928,000,000,000.00","1,150,000,000,000.00","1,400,000,000,000.00","1,550,000,000,000.00","1,580,000,000,000.00","1,470,000,000,000.00","1,350,000,000,000.00","1,210,000,000,000.00","1,330,000,000,000.00","1,430,000,000,000.00",
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,"6,592,693,841.00","7,311,749,633.00","7,756,110,210.00","8,374,175,258.00","9,169,983,886.00","9,994,070,616.00","10,887,682,273.00","11,579,431,669.00","12,440,625,313.00","13,582,798,556.00","15,373,005,769.00","17,858,485,957.00","22,059,612,417.00","29,515,467,988.00","35,189,299,985.00","40,059,206,763.00","42,959,976,068.00","51,545,759,221.00","62,052,258,694.00","73,937,296,655.00","82,058,912,465.00","71,034,228,097.00","71,275,287,328.00","72,121,016,623.00","67,985,345,162.00","69,386,774,475.00","99,036,165,210.00","124,000,000,000.00","133,000,000,000.00","133,000,000,000.00","166,000,000,000.00","174,000,000,000.00","195,000,000,000.00","190,000,000,000.00","204,000,000,000.00","241,000,000,000.00","237,000,000,000.00","213,000,000,000.00","218,000,000,000.00","217,000,000,000.00","197,000,000,000.00","197,000,000,000.00","213,000,000,000.00","262,000,000,000.00","301,000,000,000.00","316,000,000,000.00","336,000,000,000.00","389,000,000,000.00","430,000,000,000.00","400,000,000,000.00","392,000,000,000.00","431,000,000,000.00","409,000,000,000.00","430,000,000,000.00","442,000,000,000.00","382,000,000,000.00","395,000,000,000.00","417,000,000,000.00","455,000,000,000.00",
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,858,006,036.00","8,792,365,811.00","4,991,350,458.00","3,970,953,396.00","3,313,939,554.00","3,052,467,522.00","3,176,703,092.00","3,962,735,257.00","4,446,370,371.00","4,581,246,713.00","5,272,617,196.00","5,707,720,391.00","6,235,856,820.00","7,276,013,032.00","8,680,370,408.00","13,245,716,099.00","20,982,986,344.00","33,050,343,783.00","48,852,482,960.00","44,291,490,421.00","52,902,703,376.00","65,951,627,200.00","69,683,935,845.00","74,164,435,946.00","75,244,294,275.00","53,074,468,085.00","37,867,518,957.00","40,865,558,912.00","46,939,529,412.00",
Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,"195,999,990.00","202,999,992.00","213,500,006.00","232,749,998.00","260,750,008.00","158,994,963.00","165,444,571.40","178,297,142.90","183,200,000.00","190,205,714.30","242,732,571.40","252,842,285.70","246,804,571.40","304,339,839.60","345,263,492.10","420,986,666.70","448,412,753.60","547,535,555.60","610,225,555.60","782,496,666.70","919,726,666.70","969,046,666.70","1,013,222,222.00","1,082,926,304.00","987,143,931.20","1,149,979,286.00","1,201,725,497.00","1,131,466,494.00","1,082,403,219.00","1,113,924,130.00","1,132,101,253.00","1,167,398,478.00","1,083,037,671.00","938,632,612.00","925,030,590.20","1,000,428,394.00","869,033,856.30","972,896,267.90","893,770,806.10","808,077,223.40","870,486,065.90","876,794,723.10","825,394,490.20","784,654,423.60","915,257,323.40","1,117,113,046.00","1,273,375,020.00","1,356,199,365.00","1,611,835,902.00","1,781,455,092.00","2,032,135,247.00","2,235,820,868.00","2,333,308,099.00","2,451,625,333.00","2,705,783,272.00","3,104,394,858.00","2,959,640,987.00","3,172,292,379.00","3,036,931,818.00",
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,"11,658,722,591.00","12,400,145,222.00","13,264,015,675.00","14,260,017,387.00","15,960,106,681.00","17,371,457,608.00","18,651,883,472.00","19,992,040,788.00","21,376,353,113.00","23,710,735,895.00","26,706,196,127.00","29,821,661,541.00","37,209,417,835.00","47,743,801,490.00","56,033,078,190.00","65,678,188,659.00","71,113,883,177.00","82,839,905,346.00","101,000,000,000.00","116,000,000,000.00","127,000,000,000.00","105,000,000,000.00","92,095,926,629.00","87,184,238,659.00","83,349,529,880.00","86,268,264,488.00","120,000,000,000.00","149,000,000,000.00","162,000,000,000.00","164,000,000,000.00","205,000,000,000.00","211,000,000,000.00","235,000,000,000.00","225,000,000,000.00","245,000,000,000.00","288,000,000,000.00","279,000,000,000.00","253,000,000,000.00","259,000,000,000.00","258,000,000,000.00","236,000,000,000.00","237,000,000,000.00","257,000,000,000.00","317,000,000,000.00","369,000,000,000.00","386,000,000,000.00","408,000,000,000.00","470,000,000,000.00","515,000,000,000.00","481,000,000,000.00","481,000,000,000.00","523,000,000,000.00","496,000,000,000.00","522,000,000,000.00","535,000,000,000.00","462,000,000,000.00","476,000,000,000.00","503,000,000,000.00","543,000,000,000.00",
Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,"226,195,579.40","235,668,222.40","236,434,906.80","253,927,646.50","269,818,988.30","289,908,720.60","302,925,280.80","306,222,000.40","326,323,097.40","330,748,211.50","333,627,758.20","335,072,975.20","410,331,901.00","504,376,035.70","554,654,787.00","676,870,140.30","698,408,244.40","750,049,739.20","928,843,304.80","1,186,231,265.00","1,405,251,547.00","1,291,119,965.00","1,267,778,489.00","1,095,348,303.00","1,051,133,927.00","1,045,712,703.00","1,336,102,041.00","1,562,412,030.00","1,620,246,187.00","1,502,294,411.00","1,959,965,244.00","1,986,437,860.00","1,695,315,306.00","2,274,557,914.00","1,598,075,932.00","2,169,627,251.00","2,361,116,588.00","2,268,301,538.00","2,455,092,582.00","2,689,787,918.00","2,569,186,643.00","2,680,213,931.00","3,054,571,082.00","3,905,366,188.00","4,521,424,807.00","4,803,702,821.00","5,142,380,779.00","5,969,535,132.00","7,132,787,397.00","7,097,198,712.00","6,977,040,762.00","7,824,320,327.00","8,152,088,222.00","9,159,958,826.00","9,720,362,615.00","8,294,490,789.00","8,578,984,066.00","9,269,594,835.00","10,354,274,635.00",
Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,"330,442,817.20","350,247,237.10","379,567,178.30","394,040,749.10","410,321,785.60","422,916,848.40","433,889,831.60","450,753,993.20","460,442,864.20","478,298,781.50","458,404,330.10","482,411,279.00","578,595,584.00","674,773,821.20","751,133,642.60","939,972,703.50","976,547,572.20","1,131,225,279.00","1,475,584,037.00","1,748,480,982.00","1,928,720,390.00","1,775,842,680.00","1,754,450,379.00","1,600,278,756.00","1,459,880,353.00","1,552,493,414.00","2,036,303,381.00","2,369,835,439.00","2,616,040,646.00","2,615,588,546.00","3,101,301,781.00","3,135,045,684.00","2,240,264,712.00","2,332,018,011.00","1,895,290,965.00","2,379,518,099.00","2,586,550,747.00","2,447,669,404.00","2,804,902,724.00","2,993,753,187.00","2,628,920,056.00","2,812,845,514.00","3,205,592,290.00","4,205,691,222.00","4,838,551,100.00","5,462,709,498.00","5,816,310,158.00","6,771,277,871.00","8,369,637,065.00","8,369,175,126.00","8,979,966,766.00","10,724,063,458.00","11,166,063,467.00","11,947,176,342.00","12,377,391,463.00","10,419,303,761.00","10,867,024,152.00","12,330,338,343.00","14,124,775,069.00",
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,"4,274,893,913.00","4,817,580,184.00","5,081,413,340.00","5,319,458,351.00","5,386,054,619.00","5,906,636,557.00","6,439,687,598.00","7,253,575,399.00","7,483,685,474.00","8,471,006,101.00","8,992,721,809.00","8,751,842,840.00","6,288,245,867.00","8,086,725,729.00","12,512,460,520.00","19,448,348,073.00","10,117,113,333.00","9,651,149,302.00","13,281,767,143.00","15,565,480,322.00","18,138,049,096.00","20,249,694,002.00","18,525,399,202.00","17,609,048,822.00","18,920,840,000.00","22,278,423,077.00","21,774,033,333.00","24,298,032,258.00","26,579,005,760.00","28,781,714,764.00","31,598,341,234.00","30,957,483,950.00","31,708,874,594.00","33,166,519,418.00","33,768,660,883.00","37,939,748,769.00","46,438,484,108.00","48,244,309,133.00","49,984,559,471.00","51,270,569,884.00","53,369,787,319.00","53,991,289,844.00","54,724,081,491.00","60,158,929,188.00","65,108,544,250.00","69,442,943,089.00","71,819,083,684.00","79,611,888,213.00","91,631,278,239.00","102,000,000,000.00","115,000,000,000.00","129,000,000,000.00","133,000,000,000.00","150,000,000,000.00","173,000,000,000.00","195,000,000,000.00","221,000,000,000.00","250,000,000,000.00","274,000,000,000.00",
Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,"19,839,230,769.00","19,870,000,000.00","19,342,000,000.00","16,563,666,667.00","17,594,944,444.00","17,155,421,053.00","20,249,294,118.00","28,101,000,000.00","22,555,941,176.00","21,988,444,444.00","20,632,090,909.00","10,943,548,387.00","10,350,515,464.00","10,829,710,145.00","9,697,416,974.00","18,867,559,524.00","12,184,935,357.00","11,211,546,465.00","14,942,172,234.00","13,531,969,309.00","13,153,016,531.00","14,075,616,789.00","16,276,456,428.00","20,982,685,981.00","25,957,970,922.00","29,636,617,750.00","34,130,122,491.00","44,411,476,557.00","54,409,138,498.00","51,884,481,410.00","50,610,058,210.00","57,418,414,504.00","53,903,022,339.00","55,555,171,010.00","56,814,543,481.00","50,201,314,895.00","53,240,950,226.00","58,220,973,783.00","65,132,951,116.00",
