Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,"54,131.00","55,001.00","55,841.00","56,702.00","57,641.00","58,698.00","59,915.00","61,241.00","62,521.00","63,550.00","64,177.00","64,357.00","64,133.00","63,650.00","63,120.00","62,675.00","62,367.00","62,159.00","62,036.00","61,952.00","61,865.00","61,800.00","61,779.00","61,787.00","61,786.00","61,786.00","61,754.00","61,717.00","61,771.00","62,008.00","62,528.00","63,367.00","64,471.00","65,777.00","67,204.00","68,670.00","70,173.00","71,704.00","73,224.00","74,674.00","76,016.00","77,212.00","78,295.00","79,300.00","80,336.00","81,465.00","82,704.00","84,026.00","85,397.00","86,746.00","88,028.00","89,253.00","90,409.00","91,516.00","92,562.00","93,566.00","94,527.00","95,426.00","96,286.00",
Australia,AUS,"Population, total",SP.POP.TOTL,"10,276,477.00","10,483,000.00","10,742,000.00","10,950,000.00","11,167,000.00","11,388,000.00","11,651,000.00","11,799,000.00","12,009,000.00","12,263,000.00","12,507,000.00","12,937,000.00","13,177,000.00","13,380,000.00","13,723,000.00","13,893,000.00","14,033,000.00","14,192,000.00","14,358,000.00","14,514,000.00","14,692,000.00","14,927,000.00","15,178,000.00","15,369,000.00","15,544,000.00","15,758,000.00","16,018,400.00","16,263,900.00","16,532,200.00","16,814,400.00","17,065,100.00","17,284,000.00","17,495,000.00","17,667,000.00","17,855,000.00","18,072,000.00","18,311,000.00","18,517,000.00","18,711,000.00","18,926,000.00","19,153,000.00","19,413,000.00","19,651,400.00","19,895,400.00","20,127,400.00","20,394,800.00","20,697,900.00","20,827,600.00","21,249,200.00","21,691,700.00","22,031,750.00","22,340,024.00","22,733,465.00","23,128,129.00","23,475,686.00","23,815,995.00","24,190,907.00","24,601,860.00","24,992,369.00",
Austria,AUT,"Population, total",SP.POP.TOTL,"7,047,539.00","7,086,299.00","7,129,864.00","7,175,811.00","7,223,801.00","7,270,889.00","7,322,066.00","7,376,998.00","7,415,403.00","7,441,055.00","7,467,086.00","7,500,482.00","7,544,201.00","7,586,115.00","7,599,038.00","7,578,903.00","7,565,525.00","7,568,430.00","7,562,305.00","7,549,425.00","7,549,433.00","7,568,710.00","7,574,140.00","7,561,910.00","7,561,434.00","7,564,985.00","7,569,794.00","7,574,586.00","7,585,317.00","7,619,567.00","7,677,850.00","7,754,891.00","7,840,709.00","7,905,633.00","7,936,118.00","7,948,278.00","7,959,017.00","7,968,041.00","7,976,789.00","7,992,324.00","8,011,566.00","8,042,293.00","8,081,957.00","8,121,423.00","8,171,966.00","8,227,829.00","8,268,641.00","8,295,487.00","8,321,496.00","8,343,323.00","8,363,404.00","8,391,643.00","8,429,991.00","8,479,823.00","8,546,356.00","8,642,699.00","8,736,668.00","8,797,566.00","8,847,037.00",
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,"3,895,397.00","4,030,322.00","4,171,426.00","4,315,127.00","4,456,687.00","4,592,609.00","4,721,523.00","4,843,868.00","4,960,232.00","5,071,927.00","5,180,023.00","5,284,531.00","5,385,263.00","5,483,082.00","5,579,072.00","5,674,133.00","5,768,721.00","5,863,132.00","5,957,925.00","6,053,640.00","6,150,733.00","6,249,314.00","6,349,553.00","6,452,069.00","6,557,581.00","6,666,447.00","6,778,624.00","6,893,489.00","7,010,027.00","7,126,881.00","7,159,000.00","7,271,000.00","7,382,000.00","7,495,000.00","7,597,000.00","7,685,000.00","7,763,000.00","7,838,250.00","7,913,000.00","7,982,750.00","8,048,600.00","8,111,200.00","8,171,950.00","8,234,100.00","8,306,500.00","8,391,850.00","8,484,550.00","8,581,300.00","8,763,400.00","8,947,243.00","9,054,332.00","9,173,082.00","9,295,784.00","9,416,801.00","9,535,079.00","9,649,341.00","9,757,812.00","9,854,033.00","9,942,334.00",
Burundi,BDI,"Population, total",SP.POP.TOTL,"2,797,932.00","2,852,438.00","2,907,321.00","2,964,427.00","3,026,290.00","3,094,379.00","3,170,490.00","3,253,218.00","3,336,927.00","3,413,904.00","3,479,074.00","3,529,997.00","3,569,666.00","3,605,126.00","3,646,431.00","3,700,880.00","3,770,871.00","3,854,445.00","3,949,266.00","4,051,234.00","4,157,298.00","4,266,520.00","4,379,724.00","4,497,533.00","4,621,103.00","4,750,837.00","4,886,743.00","5,027,138.00","5,168,698.00","5,307,069.00","5,438,957.00","5,564,926.00","5,685,565.00","5,798,053.00","5,898,967.00","5,987,043.00","6,060,111.00","6,122,130.00","6,185,562.00","6,267,124.00","6,378,871.00","6,525,545.00","6,704,113.00","6,909,154.00","7,131,693.00","7,364,862.00","7,607,849.00","7,862,214.00","8,126,102.00","8,397,668.00","8,675,602.00","8,958,406.00","9,245,988.00","9,540,289.00","9,844,297.00","10,160,030.00","10,487,998.00","10,827,024.00","11,175,378.00",
Belgium,BEL,"Population, total",SP.POP.TOTL,"9,153,489.00","9,183,948.00","9,220,578.00","9,289,770.00","9,378,113.00","9,463,667.00","9,527,807.00","9,580,991.00","9,618,756.00","9,646,032.00","9,655,549.00","9,673,162.00","9,711,115.00","9,741,720.00","9,772,419.00","9,800,700.00","9,818,227.00","9,830,358.00","9,839,534.00","9,848,382.00","9,859,242.00","9,858,982.00","9,856,303.00","9,855,520.00","9,855,372.00","9,858,308.00","9,861,823.00","9,870,234.00","9,901,664.00","9,937,697.00","9,967,379.00","10,004,486.00","10,045,158.00","10,084,475.00","10,115,603.00","10,136,811.00","10,156,637.00","10,181,245.00","10,203,008.00","10,226,419.00","10,251,250.00","10,286,570.00","10,332,785.00","10,376,133.00","10,421,137.00","10,478,617.00","10,547,958.00","10,625,700.00","10,709,973.00","10,796,493.00","10,895,586.00","11,038,264.00","11,106,932.00","11,159,407.00","11,209,057.00","11,274,196.00","11,331,422.00","11,375,158.00","11,422,068.00",
Benin,BEN,"Population, total",SP.POP.TOTL,"2,431,622.00","2,465,867.00","2,502,896.00","2,542,859.00","2,585,965.00","2,632,356.00","2,682,159.00","2,735,307.00","2,791,590.00","2,850,661.00","2,912,340.00","2,976,572.00","3,043,567.00","3,113,675.00","3,187,412.00","3,265,165.00","3,347,173.00","3,433,439.00","3,523,938.00","3,618,526.00","3,717,165.00","3,820,128.00","3,927,714.00","4,039,949.00","4,156,819.00","4,278,501.00","4,404,506.00","4,535,263.00","4,672,852.00","4,820,016.00","4,978,496.00","5,149,499.00","5,331,803.00","5,521,763.00","5,714,220.00","5,905,558.00","6,094,259.00","6,281,639.00","6,470,265.00","6,664,098.00","6,865,951.00","7,076,733.00","7,295,394.00","7,520,555.00","7,750,004.00","7,982,225.00","8,216,897.00","8,454,793.00","8,696,921.00","8,944,708.00","9,199,259.00","9,460,830.00","9,729,248.00","10,004,588.00","10,286,842.00","10,575,952.00","10,872,067.00","11,175,204.00","11,485,048.00",
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,"4,829,288.00","4,894,580.00","4,960,326.00","5,027,821.00","5,098,890.00","5,174,870.00","5,256,363.00","5,343,019.00","5,434,041.00","5,528,174.00","5,624,600.00","5,723,381.00","5,825,173.00","5,930,483.00","6,040,041.00","6,154,545.00","6,274,037.00","6,398,935.00","6,530,819.00","6,671,656.00","6,822,843.00","6,985,160.00","7,158,255.00","7,340,905.00","7,531,242.00","7,727,907.00","7,930,694.00","8,140,073.00","8,356,305.00","8,579,823.00","8,811,034.00","9,050,084.00","9,297,113.00","9,552,476.00","9,816,588.00","10,089,878.00","10,372,745.00","10,665,546.00","10,968,724.00","11,282,701.00","11,607,942.00","11,944,587.00","12,293,100.00","12,654,621.00","13,030,569.00","13,421,930.00","13,829,176.00","14,252,021.00","14,689,725.00","15,141,098.00","15,605,217.00","16,081,911.00","16,571,246.00","17,072,775.00","17,586,017.00","18,110,624.00","18,646,378.00","19,193,284.00","19,751,535.00",
Bangladesh,BGD,"Population, total",SP.POP.TOTL,"48,013,504.00","49,362,843.00","50,752,157.00","52,202,007.00","53,741,716.00","55,385,112.00","57,157,654.00","59,034,249.00","60,918,454.00","62,679,765.00","64,232,482.00","65,531,633.00","66,625,705.00","67,637,530.00","68,742,233.00","70,066,301.00","71,652,381.00","73,463,584.00","75,450,032.00","77,529,045.00","79,639,491.00","81,767,515.00","83,932,127.00","86,142,495.00","88,416,521.00","90,764,183.00","93,187,603.00","95,671,163.00","98,186,350.00","100,695,497.00","103,171,956.00","105,599,127.00","107,983,704.00","110,350,639.00","112,737,683.00","115,169,930.00","117,649,932.00","120,160,564.00","122,682,815.00","125,189,651.00","127,657,854.00","130,088,702.00","132,478,086.00","134,791,603.00","136,986,432.00","139,035,505.00","140,921,167.00","142,660,376.00","144,304,167.00","145,924,797.00","147,575,430.00","149,273,778.00","151,007,807.00","152,764,676.00","154,520,167.00","156,256,276.00","157,970,840.00","159,670,593.00","161,356,039.00",
Bulgaria,BGR,"Population, total",SP.POP.TOTL,"7,867,374.00","7,943,118.00","8,012,946.00","8,078,145.00","8,144,340.00","8,204,168.00","8,258,057.00","8,310,226.00","8,369,603.00","8,434,172.00","8,489,574.00","8,536,395.00","8,576,200.00","8,620,967.00","8,678,745.00","8,720,742.00","8,758,599.00","8,804,183.00","8,814,032.00","8,825,940.00","8,861,535.00","8,891,117.00","8,917,457.00","8,939,738.00","8,960,679.00","8,960,547.00","8,958,171.00","8,971,359.00","8,981,446.00","8,876,972.00","8,718,289.00","8,632,367.00","8,540,164.00","8,472,313.00","8,443,591.00","8,406,067.00","8,362,826.00","8,312,068.00","8,256,786.00","8,210,624.00","8,170,172.00","8,009,142.00","7,837,161.00","7,775,327.00","7,716,860.00","7,658,972.00","7,601,022.00","7,545,338.00","7,492,561.00","7,444,443.00","7,395,599.00","7,348,328.00","7,305,888.00","7,265,115.00","7,223,938.00","7,177,991.00","7,127,822.00","7,075,947.00","7,024,216.00",
